name,circonscription,coalition,image_url
Adji Diarra MERGANE,Kaolack,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663097826_post.jpg
Ndèye Yacine Ngouda DIÈNE,Dakar,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663431085_post.JPG
Abdou DIENG,Bambey,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663431546_post.jpg
Aly NDAO,Malem-Hodar,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1507989709_post.JPG
Nafi FOFANA,Sedhiou,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663444862_post.jpg
Massata SAMB,Tivaouane,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663715224_post.jpg
Alphonse Mané SAMBOU,Oussouye,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663719229_post.jpg
Lamine FAYE,Afrique Australe,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705856_post.jpg
Abdou MBOW,Thies,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1411230359_post.jpg
Mariétou DIENG,Pikine,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663431884_post.jpg
Anta GAYE,Saint-louis,wALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663445238_post.jpg
Ibrahima SANÉ,Afrique de l’Ouest,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705856_post.jpg
Aminata DIENG,Dakar,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Serigne Abdou Mbacké NDAO,Mbacke,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663709444_post.jpg
Dial SANÉ,Afrique de l’Ouest,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Thierno Alassane SALL,Thies,AAR SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663444094_post.jpg
Aminata NDAO,Afrique de l’Ouest,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Cheikh Tidiane GADIO,Dakar,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1507754552_post.JPG
Ramata Saïdou MBODJI,Matam,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Alioune SALL,"Europe de l’Ouest, d",Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663714505_post.jpg
Syra Ndoye SALL,Guediawaye,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663715000_post.jpg
